OrderKey,OrderDate,DateKey,CustomerKey,ProductKey,ChannelKey,OrderQuantity,UnitPrice,DiscountRate,Revenue,COGS,ShippingCost,GrossProfit,IsReturn,IsRepeatPurchase,DeviceType,OrderStatus
23,2023-03-25,20230325,2917,25,2,5,36.05,0,180.25,72.9,0,107.35,0,0,Mobile,Completed
24,2023-08-21,20230821,2063,5,6,1,63.72,0.1,57.35,21.43,10.06,35.92,0,0,Mobile,Completed
25,2023-07-04,20230704,2698,5,2,2,63.72,0,127.44,42.86,0,84.58,0,0,Desktop,Completed
26,2023-01-18,20230118,2130,12,8,1,41.99,0,41.99,18.01,10.58,23.98,0,0,Desktop,Refunded
27,2023-02-04,20230204,3838,14,2,4,39.06,0,156.24,67.0,0,89.24,0,1,Mobile,Completed
28,2023-03-17,20230317,4256,11,4,3,49.0,0,147.0,54.78,0,92.22,0,0,Tablet,Completed
29,2023-04-26,20230426,4776,20,6,1,47.33,0.1,42.6,16.11,7.53,26.49,0,0,Desktop,Completed
30,2023-02-01,20230201,2127,26,3,3,35.1,0,105.3,42.63,0,62.67,0,1,Desktop,Completed
31,2023-11-14,20231114,4571,15,4,2,46.83,0,93.66,27.78,0,65.88,0,0,Tablet,Completed
32,2023-03-26,20230326,3813,6,4,1,50.19,0,50.19,18.76,8.83,31.43,0,0,Mobile,Completed
33,2023-03-04,20230304,3307,8,9,1,35.27,0,35.27,12.7,11.75,22.57,0,1,Mobile,Completed
34,2023-01-11,20230111,1766,31,1,2,55.4,0,110.8,39.12,0,71.68,0,0,Desktop,Completed
35,2023-08-06,20230806,3254,19,4,2,58.8,0,117.6,34.04,0,83.56,0,0,Mobile,Completed
36,2023-03-30,20230330,623,16,4,1,42.08,0,42.08,13.79,10.02,28.29,0,1,Mobile,Refunded
37,2023-10-10,20231010,348,30,7,1,39.87,0,39.87,16.78,5.73,23.09,0,0,Desktop,Completed
38,2023-11-09,20231109,3737,20,9,1,47.33,0,47.33,16.11,9.77,31.22,0,0,Tablet,Completed
39,2023-04-07,20230407,575,8,3,1,35.27,0,35.27,12.7,6.02,22.57,0,0,Desktop,Completed
40,2023-02-19,20230219,2834,31,7,5,55.4,0,277.0,97.8,0,179.2,0,0,Desktop,Completed
41,2023-08-16,20230816,4946,30,4,3,39.87,0,119.61,50.34,0,69.27,0,0,Mobile,Completed
42,2023-04-12,20230412,959,7,3,4,34.7,0,138.8,53.92,0,84.88,0,1,Mobile,Completed
43,2023-06-28,20230628,67,29,6,1,27.77,0.1,24.99,9.93,10.97,15.06,0,0,Desktop,Completed
44,2023-02-21,20230221,2457,18,7,1,40.04,0,40.04,13.18,5.54,26.86,0,0,Desktop,Completed
45,2023-10-20,20231020,3679,10,6,1,23.56,0,23.56,10.31,7.87,13.25,0,0,Mobile,Completed
46,2023-01-22,20230122,2178,23,3,1,29.77,0,29.77,12.49,11.43,17.28,0,0,Desktop,Completed
47,2023-11-12,20231112,1888,12,5,1,41.99,0.1,37.79,18.01,12.85,19.78,0,0,Mobile,Completed
48,2023-03-01,20230301,3308,28,6,3,33.35,0.05,95.05,42.57,0,52.48,0,0,Desktop,Completed
49,2023-12-30,20231230,2251,5,5,1,63.72,0,63.72,21.43,0,42.29,0,0,Mobile,Completed
50,2023-05-17,20230517,1741,21,1,2,59.37,0,118.74,35.06,0,83.68,0,1,Desktop,Completed
51,2023-10-24,20231024,4118,9,9,1,38.96,0,38.96,14.62,6.71,24.34,0,0,Desktop,Completed
52,2023-10-28,20231028,4881,27,8,1,36.31,0,36.31,14.98,11.24,21.33,0,0,Mobile,Completed
53,2023-06-02,20230602,3489,1,10,2,56.33,0,112.66,44.46,0,68.2,0,0,Tablet,Completed
54,2023-01-16,20230116,2677,20,4,1,47.33,0,47.33,16.11,5.13,31.22,0,0,Mobile,Completed
55,2023-05-21,20230521,1969,11,2,1,49.0,0,49.0,18.26,5.81,30.74,0,1,Tablet,Completed
56,2023-06-20,20230620,1066,21,5,2,59.37,0,118.74,35.06,0,83.68,0,0,Desktop,Completed
57,2023-11-15,20231115,387,15,3,1,46.83,0.15,39.81,13.89,10.14,25.92,0,0,Desktop,Completed
58,2023-07-08,20230708,2480,16,1,3,42.08,0,126.24,41.37,0,84.87,0,0,Mobile,Completed
59,2023-02-08,20230208,4259,2,10,1,68.94,0,68.94,23.78,0,45.16,0,0,Mobile,Completed
60,2023-05-30,20230530,2453,10,8,2,23.56,0,47.12,20.62,8.93,26.5,0,0,Mobile,Completed
61,2023-01-18,20230118,3045,4,10,3,43.78,0,131.34,45.54,0,85.8,0,1,Mobile,Completed
62,2023-08-10,20230810,2526,19,7,2,58.8,0,117.6,34.04,0,83.56,0,0,Desktop,Refunded
63,2023-01-09,20230109,2462,30,4,1,39.87,0,39.87,16.78,9.4,23.09,0,0,Mobile,Cancelled
64,2023-02-19,20230219,4671,23,1,2,29.77,0,59.54,24.98,7.65,34.56,0,0,Desktop,Completed
65,2023-05-29,20230529,4635,4,5,2,43.78,0,87.56,30.36,0,57.2,0,0,Mobile,Completed
66,2023-07-24,20230724,218,20,2,5,47.33,0,236.65,80.55,0,156.1,0,0,Desktop,Completed
67,2023-09-16,20230916,3103,20,6,1,47.33,0,47.33,16.11,9.84,31.22,0,1,Tablet,Completed
68,2023-12-05,20231205,1171,6,6,1,50.19,0.2,40.15,18.76,10.71,21.39,0,1,Mobile,Completed
69,2023-08-30,20230830,677,6,6,5,50.19,0.05,238.4,93.8,0,144.6,0,0,Mobile,Completed
70,2023-02-01,20230201,4264,13,2,1,49.52,0,49.52,19.24,12.79,30.28,0,1,Desktop,Completed
71,2023-01-08,20230108,589,16,6,2,42.08,0,84.16,27.58,0,56.58,0,1,Mobile,Completed
72,2023-07-03,20230703,895,23,5,2,29.77,0,59.54,24.98,9.04,34.56,0,0,Desktop,Completed
73,2023-03-26,20230326,2040,18,7,1,40.04,0,40.04,13.18,8.44,26.86,0,0,Mobile,Completed
74,2023-12-21,20231221,4621,15,7,1,46.83,0.2,37.46,13.89,6.52,23.57,0,1,Desktop,Completed
75,2023-08-09,20230809,789,29,3,2,27.77,0,55.54,19.86,6.99,35.68,0,0,Desktop,Completed
76,2023-03-11,20230311,3370,23,7,1,29.77,0,29.77,12.49,8.29,17.28,0,0,Mobile,Completed
77,2023-12-26,20231226,495,2,2,1,68.94,0,68.94,23.78,0,45.16,0,0,Mobile,Completed
78,2023-06-22,20230622,3197,16,4,1,42.08,0,42.08,13.79,10.17,28.29,0,1,Mobile,Completed
79,2023-05-04,20230504,3221,28,1,3,33.35,0,100.05,42.57,0,57.48,0,0,Desktop,Completed
80,2023-06-10,20230610,4198,21,6,2,59.37,0,118.74,35.06,0,83.68,0,0,Mobile,Completed
81,2023-05-19,20230519,563,10,3,1,23.56,0,23.56,10.31,8.55,13.25,0,1,Mobile,Completed
82,2023-05-27,20230527,1002,29,8,2,27.77,0,55.54,19.86,12.3,35.68,0,0,Desktop,Completed
83,2023-02-13,20230213,2754,5,6,2,63.72,0.05,121.07,42.86,0,78.21,0,1,Mobile,Completed
84,2023-03-12,20230312,1625,5,6,1,63.72,0.05,60.53,21.43,0,39.1,0,0,Mobile,Completed
85,2023-03-24,20230324,1270,20,10,4,47.33,0,189.32,64.44,0,124.88,0,0,Desktop,Completed
86,2023-05-05,20230505,1193,6,4,3,50.19,0,150.57,56.28,0,94.29,0,0,Tablet,Completed
87,2023-07-05,20230705,3111,6,2,1,50.19,0,50.19,18.76,12.06,31.43,0,1,Mobile,Completed
88,2023-04-18,20230418,3476,5,3,1,63.72,0,63.72,21.43,0,42.29,0,1,Desktop,Completed
89,2023-07-10,20230710,1132,25,1,5,36.05,0,180.25,72.9,0,107.35,0,0,Mobile,Completed
90,2023-10-16,20231016,3876,20,9,5,47.33,0,236.65,80.55,0,156.1,0,1,Desktop,Completed
91,2023-06-06,20230606,1735,8,6,2,35.27,0.1,63.49,25.4,0,38.09,0,1,Desktop,Completed
92,2023-04-08,20230408,3366,15,8,1,46.83,0,46.83,13.89,9.92,32.94,0,1,Desktop,Completed
93,2023-11-22,20231122,373,3,6,4,47.56,0.15,161.7,75.0,0,86.7,0,0,Desktop,Completed
94,2023-12-25,20231225,4669,23,8,2,29.77,0,59.54,24.98,11.1,34.56,0,0,Mobile,Completed
95,2023-07-28,20230728,610,12,5,2,41.99,0,83.98,36.02,0,47.96,0,0,Mobile,Completed
96,2023-07-31,20230731,325,9,4,2,38.96,0,77.92,29.24,0,48.68,0,1,Mobile,Completed
97,2023-07-09,20230709,3717,1,4,4,56.33,0,225.32,88.92,0,136.4,0,0,Mobile,Completed
98,2023-07-25,20230725,3296,4,2,1,43.78,0,43.78,15.18,11.71,28.6,0,0,Mobile,Completed
99,2023-05-27,20230527,4758,30,3,1,39.87,0,39.87,16.78,10.17,23.09,0,0,Mobile,Completed
100,2023-11-27,20231127,537,8,5,2,35.27,0.1,63.49,25.4,0,38.09,0,1,Mobile,Completed
101,2023-09-18,20230918,1393,4,7,1,43.78,0,43.78,15.18,8.24,28.6,0,0,Mobile,Completed
102,2023-07-23,20230723,3757,2,4,1,68.94,0,68.94,23.78,0,45.16,0,0,Desktop,Completed
103,2023-06-01,20230601,3799,7,4,1,34.7,0,34.7,13.48,7.32,21.22,0,1,Mobile,Cancelled
104,2023-11-25,20231125,839,21,4,3,59.37,0.1,160.3,52.59,0,107.71,0,0,Mobile,Completed
105,2023-04-20,20230420,2272,21,3,2,59.37,0,118.74,35.06,0,83.68,0,1,Desktop,Completed
106,2023-11-04,20231104,500,12,7,2,41.99,0.1,75.58,36.02,0,39.56,0,1,Tablet,Completed
107,2023-04-11,20230411,2148,8,3,1,35.27,0,35.27,12.7,6.39,22.57,0,0,Mobile,Completed
108,2023-07-15,20230715,1042,6,6,1,50.19,0.1,45.17,18.76,6.29,26.41,0,0,Mobile,Completed
109,2023-11-21,20231121,3532,7,2,1,34.7,0.1,31.23,13.48,6.72,17.75,0,1,Mobile,Completed
110,2023-04-05,20230405,2255,7,4,1,34.7,0,34.7,13.48,5.33,21.22,0,1,Desktop,Refunded
111,2023-12-18,20231218,2283,18,4,1,40.04,0,40.04,13.18,8.5,26.86,0,1,Mobile,Completed
112,2023-03-02,20230302,2806,13,2,1,49.52,0,49.52,19.24,7.99,30.28,1,0,Mobile,Completed
113,2023-07-18,20230718,930,21,8,5,59.37,0,296.85,87.65,0,209.2,0,0,Mobile,Completed
114,2023-04-22,20230422,4755,27,6,1,36.31,0,36.31,14.98,11.35,21.33,0,0,Mobile,Completed
115,2023-09-09,20230909,280,7,9,1,34.7,0,34.7,13.48,5.76,21.22,0,0,Desktop,Completed
116,2023-06-11,20230611,3083,10,3,4,23.56,0,94.24,41.24,0,53.0,0,0,Mobile,Completed
117,2023-05-19,20230519,1736,3,4,1,47.56,0,47.56,18.75,5.36,28.81,0,0,Mobile,Completed
118,2023-08-22,20230822,1360,8,9,1,35.27,0,35.27,12.7,9.77,22.57,0,0,Mobile,Completed
119,2023-07-24,20230724,2401,7,4,1,34.7,0,34.7,13.48,8.13,21.22,0,0,Desktop,Completed
120,2023-04-20,20230420,4227,2,2,1,68.94,0,68.94,23.78,0,45.16,0,0,Mobile,Completed
121,2023-03-19,20230319,4339,3,4,1,47.56,0,47.56,18.75,7.67,28.81,0,0,Desktop,Completed
122,2023-07-23,20230723,1533,7,3,2,34.7,0,69.4,26.96,0,42.44,0,1,Tablet,Completed
123,2023-02-23,20230223,3002,5,5,1,63.72,0,63.72,21.43,0,42.29,0,0,Desktop,Completed
124,2023-03-09,20230309,2440,15,5,2,46.83,0,93.66,27.78,0,65.88,0,0,Mobile,Completed
125,2023-07-14,20230714,1220,30,5,2,39.87,0,79.74,33.56,0,46.18,0,0,Mobile,Completed
126,2023-01-23,20230123,2173,8,2,3,35.27,0,105.81,38.1,0,67.71,0,0,Mobile,Completed
127,2023-06-19,20230619,2633,10,4,1,23.56,0,23.56,10.31,6.48,13.25,0,0,Mobile,Completed
128,2023-06-16,20230616,3255,6,1,4,50.19,0,200.76,75.04,0,125.72,0,0,Mobile,Completed
129,2023-05-01,20230501,1525,18,6,2,40.04,0,80.08,26.36,0,53.72,0,1,Mobile,Completed
130,2023-12-31,20231231,3721,2,3,1,68.94,0,68.94,23.78,0,45.16,0,1,Desktop,Completed
131,2023-06-28,20230628,2108,8,8,1,35.27,0,35.27,12.7,12.72,22.57,0,1,Mobile,Completed
132,2023-03-23,20230323,2983,26,8,5,35.1,0,175.5,71.05,0,104.45,0,0,Mobile,Completed
133,2023-04-21,20230421,2316,4,6,2,43.78,0.05,83.18,30.36,0,52.82,0,1,Desktop,Completed
134,2023-11-21,20231121,3188,12,4,1,41.99,0.2,33.59,18.01,12.55,15.58,0,1,Mobile,Completed
135,2023-01-26,20230126,1173,11,2,1,49.0,0,49.0,18.26,8.26,30.74,0,1,Desktop,Completed
136,2023-10-14,20231014,1820,9,5,1,38.96,0,38.96,14.62,6.72,24.34,0,0,Mobile,Completed
137,2023-10-19,20231019,1438,20,6,1,47.33,0.1,42.6,16.11,9.97,26.49,0,0,Mobile,Completed
138,2023-08-02,20230802,1032,20,3,2,47.33,0,94.66,32.22,0,62.44,0,0,Mobile,Refunded
139,2023-04-20,20230420,2535,8,8,1,35.27,0,35.27,12.7,5.67,22.57,0,0,Desktop,Completed
140,2023-02-23,20230223,3412,31,6,1,55.4,0,55.4,19.56,9.79,35.84,0,0,Mobile,Completed
141,2023-04-17,20230417,1450,11,3,3,49.0,0,147.0,54.78,0,92.22,0,1,Desktop,Completed
142,2023-09-08,20230908,1097,20,2,2,47.33,0,94.66,32.22,0,62.44,0,1,Mobile,Completed
143,2023-03-16,20230316,790,13,8,1,49.52,0,49.52,19.24,9.52,30.28,0,0,Mobile,Completed
144,2023-12-27,20231227,2771,22,4,1,23.84,0,23.84,9.43,11.19,14.41,0,0,Mobile,Completed
145,2023-04-13,20230413,3491,22,9,4,23.84,0,95.36,37.72,0,57.64,0,0,Mobile,Completed
146,2023-10-22,20231022,2498,30,5,1,39.87,0,39.87,16.78,9.09,23.09,0,0,Desktop,Completed
147,2023-08-21,20230821,4697,2,10,2,68.94,0,137.88,47.56,0,90.32,0,0,Mobile,Completed
148,2023-07-30,20230730,3545,20,3,3,47.33,0,141.99,48.33,0,93.66,0,0,Mobile,Completed
149,2023-08-04,20230804,2955,13,5,4,49.52,0,198.08,76.96,0,121.12,0,0,Tablet,Completed
150,2023-08-15,20230815,1506,7,3,1,34.7,0,34.7,13.48,10.66,21.22,0,0,Mobile,Completed
151,2023-05-29,20230529,38,23,3,4,29.77,0,119.08,49.96,0,69.12,0,0,Desktop,Completed
152,2023-04-12,20230412,3834,11,3,2,49.0,0,98.0,36.52,0,61.48,0,1,Mobile,Completed
153,2023-11-27,20231127,4837,23,1,5,29.77,0.2,119.08,62.45,0,56.63,1,1,Mobile,Completed
154,2023-06-17,20230617,1448,17,6,2,55.99,0.05,106.38,35.74,0,70.64,1,0,Mobile,Completed
155,2023-01-13,20230113,1698,24,2,1,24.97,0,24.97,11.77,10.19,13.2,0,0,Desktop,Cancelled
156,2023-02-03,20230203,638,20,8,5,47.33,0,236.65,80.55,0,156.1,0,0,Mobile,Completed
157,2023-08-17,20230817,2937,28,5,1,33.35,0,33.35,14.19,9.04,19.16,0,1,Mobile,Completed
158,2023-10-06,20231006,1153,16,9,1,42.08,0,42.08,13.79,6.05,28.29,0,0,Desktop,Completed
159,2023-10-10,20231010,1424,29,1,1,27.77,0,27.77,9.93,9.44,17.84,0,0,Desktop,Completed
160,2023-10-16,20231016,4213,30,3,2,39.87,0,79.74,33.56,0,46.18,0,0,Mobile,Completed
161,2023-05-08,20230508,2775,4,10,4,43.78,0,175.12,60.72,0,114.4,0,0,Mobile,Completed
162,2023-05-29,20230529,670,12,3,3,41.99,0,125.97,54.03,0,71.94,0,0,Mobile,Completed
163,2023-12-09,20231209,1941,9,6,1,38.96,0.15,33.12,14.62,5.02,18.5,0,0,Mobile,Completed
164,2023-02-09,20230209,3715,26,1,1,35.1,0,35.1,14.21,10.49,20.89,0,1,Tablet,Completed
165,2023-03-14,20230314,2236,7,2,1,34.7,0,34.7,13.48,9.92,21.22,0,0,Desktop,Completed
166,2023-10-10,20231010,3705,7,4,2,34.7,0,69.4,26.96,0,42.44,0,0,Desktop,Completed
167,2023-11-08,20231108,2979,2,3,1,68.94,0,68.94,23.78,0,45.16,0,0,Desktop,Completed
168,2023-06-01,20230601,4436,24,5,1,24.97,0,24.97,11.77,8.72,13.2,0,0,Mobile,Completed
169,2023-08-14,20230814,4825,19,3,1,58.8,0,58.8,17.02,7.84,41.78,0,1,Mobile,Completed
170,2023-12-13,20231213,1787,20,4,1,47.33,0.2,37.86,16.11,6.48,21.75,0,1,Desktop,Cancelled
171,2023-09-06,20230906,2529,6,5,2,50.19,0,100.38,37.52,0,62.86,0,0,Desktop,Completed
172,2023-08-27,20230827,4197,12,5,2,41.99,0,83.98,36.02,0,47.96,0,1,Desktop,Cancelled
173,2023-04-27,20230427,3335,7,4,1,34.7,0,34.7,13.48,5.6,21.22,0,0,Mobile,Completed
174,2023-11-23,20231123,2727,4,9,2,43.78,0,87.56,30.36,0,57.2,0,0,Mobile,Completed
175,2023-09-15,20230915,1053,19,6,1,58.8,0,58.8,17.02,9.84,41.78,0,0,Desktop,Completed
176,2023-06-16,20230616,2267,4,6,2,43.78,0.05,83.18,30.36,0,52.82,0,1,Desktop,Completed
177,2023-05-15,20230515,584,11,10,2,49.0,0,98.0,36.52,0,61.48,1,1,Desktop,Completed
178,2023-03-15,20230315,2956,9,9,1,38.96,0,38.96,14.62,7.95,24.34,0,0,Desktop,Completed
179,2023-08-27,20230827,162,5,4,4,63.72,0,254.88,85.72,0,169.16,0,0,Desktop,Completed
180,2023-08-20,20230820,3618,19,1,1,58.8,0,58.8,17.02,10.15,41.78,0,1,Desktop,Completed
181,2023-02-20,20230220,2318,3,10,3,47.56,0,142.68,56.25,0,86.43,0,0,Desktop,Completed
182,2023-01-22,20230122,513,13,2,1,49.52,0,49.52,19.24,5.41,30.28,0,0,Mobile,Completed
183,2023-04-18,20230418,36,6,6,1,50.19,0,50.19,18.76,7.42,31.43,0,0,Desktop,Completed
184,2023-10-20,20231020,2847,29,4,1,27.77,0,27.77,9.93,6.49,17.84,0,1,Tablet,Completed
185,2023-09-03,20230903,2400,5,7,1,63.72,0,63.72,21.43,0,42.29,0,1,Tablet,Completed
186,2023-11-21,20231121,2520,30,4,1,39.87,0,39.87,16.78,6.65,23.09,0,1,Mobile,Completed
187,2023-02-15,20230215,963,9,6,1,38.96,0.05,37.01,14.62,10.28,22.39,0,0,Mobile,Completed
188,2023-10-17,20231017,2382,27,5,5,36.31,0,181.55,74.9,0,106.65,0,0,Desktop,Completed
189,2023-05-26,20230526,1915,27,6,5,36.31,0.05,172.47,74.9,0,97.57,0,0,Desktop,Completed
190,2023-02-21,20230221,4353,7,8,2,34.7,0,69.4,26.96,0,42.44,0,0,Mobile,Refunded
191,2023-02-04,20230204,3082,14,1,2,39.06,0,78.12,33.5,0,44.62,0,0,Desktop,Completed
192,2023-02-01,20230201,1930,31,3,1,55.4,0,55.4,19.56,9.61,35.84,0,0,Mobile,Completed
193,2023-12-10,20231210,3685,17,3,1,55.99,0.1,50.39,17.87,7.15,32.52,0,1,Desktop,Completed
194,2023-05-30,20230530,3698,19,5,1,58.8,0,58.8,17.02,9.51,41.78,0,0,Mobile,Completed
195,2023-03-22,20230322,2150,28,1,1,33.35,0,33.35,14.19,10.06,19.16,0,1,Mobile,Completed
196,2023-11-26,20231126,1567,17,1,3,55.99,0.15,142.77,53.61,0,89.16,0,0,Mobile,Refunded
197,2023-02-15,20230215,3939,4,2,4,43.78,0,175.12,60.72,0,114.4,0,0,Desktop,Refunded
198,2023-06-01,20230601,430,29,3,2,27.77,0,55.54,19.86,9.92,35.68,0,1,Mobile,Completed
199,2023-06-19,20230619,223,2,6,5,68.94,0.1,310.23,118.9,0,191.33,0,0,Desktop,Completed
200,2023-06-07,20230607,2540,10,3,1,23.56,0,23.56,10.31,7.92,13.25,0,0,Desktop,Completed
201,2023-08-27,20230827,1547,16,5,1,42.08,0,42.08,13.79,8.64,28.29,0,1,Mobile,Completed
202,2023-11-18,20231118,4339,2,10,1,68.94,0,68.94,23.78,0,45.16,1,0,Mobile,Completed
203,2023-04-28,20230428,1076,15,2,1,46.83,0,46.83,13.89,11.01,32.94,0,0,Mobile,Completed
204,2023-08-18,20230818,2927,27,2,1,36.31,0,36.31,14.98,5.44,21.33,0,0,Mobile,Completed
205,2023-12-02,20231202,1703,23,1,1,29.77,0.15,25.3,12.49,8.43,12.81,0,0,Desktop,Completed
206,2023-03-26,20230326,3424,4,3,1,43.78,0,43.78,15.18,12.11,28.6,0,0,Mobile,Completed
207,2023-07-08,20230708,2871,9,2,2,38.96,0,77.92,29.24,0,48.68,0,1,Desktop,Completed
208,2023-10-18,20231018,2433,5,8,1,63.72,0,63.72,21.43,0,42.29,0,1,Mobile,Completed
209,2023-10-12,20231012,1437,7,6,4,34.7,0.05,131.86,53.92,0,77.94,0,0,Desktop,Cancelled
210,2023-08-12,20230812,2934,29,4,2,27.77,0,55.54,19.86,5.03,35.68,0,1,Mobile,Completed
211,2023-07-22,20230722,4761,11,1,3,49.0,0,147.0,54.78,0,92.22,0,0,Mobile,Completed
212,2023-06-19,20230619,3739,3,3,1,47.56,0,47.56,18.75,9.87,28.81,0,1,Desktop,Completed
213,2023-06-03,20230603,3337,25,6,1,36.05,0,36.05,14.58,9.03,21.47,1,1,Mobile,Completed
214,2023-06-19,20230619,1334,3,2,1,47.56,0,47.56,18.75,6.47,28.81,0,0,Mobile,Completed
215,2023-10-25,20231025,2308,7,8,5,34.7,0,173.5,67.4,0,106.1,0,1,Mobile,Refunded
216,2023-02-19,20230219,2406,17,4,2,55.99,0,111.98,35.74,0,76.24,0,0,Desktop,Completed
217,2023-11-02,20231102,2260,13,6,2,49.52,0.2,79.23,38.48,0,40.75,0,0,Tablet,Completed
218,2023-09-14,20230914,2403,20,5,3,47.33,0,141.99,48.33,0,93.66,0,0,Mobile,Completed
219,2023-04-25,20230425,4916,23,6,1,29.77,0.1,26.79,12.49,10.43,14.3,0,0,Mobile,Completed
220,2023-10-08,20231008,2474,25,1,1,36.05,0,36.05,14.58,5.63,21.47,0,1,Mobile,Completed
221,2023-10-17,20231017,789,27,1,1,36.31,0,36.31,14.98,10.37,21.33,0,0,Mobile,Completed
222,2023-11-13,20231113,2206,6,3,2,50.19,0.2,80.3,37.52,0,42.78,0,0,Desktop,Cancelled
223,2023-07-03,20230703,2233,1,2,2,56.33,0,112.66,44.46,0,68.2,0,0,Desktop,Completed
224,2023-09-21,20230921,3335,1,4,3,56.33,0,168.99,66.69,0,102.3,0,1,Desktop,Completed
225,2023-06-21,20230621,990,19,3,1,58.8,0,58.8,17.02,8.57,41.78,0,1,Desktop,Completed
226,2023-10-24,20231024,243,30,5,1,39.87,0,39.87,16.78,9.69,23.09,0,0,Desktop,Completed
227,2023-10-05,20231005,4560,6,6,5,50.19,0.1,225.85,93.8,0,132.05,0,0,Mobile,Completed
228,2023-08-26,20230826,3353,21,1,1,59.37,0,59.37,17.53,9.78,41.84,0,0,Desktop,Completed
229,2023-12-11,20231211,2063,18,7,4,40.04,0,160.16,52.72,0,107.44,0,1,Mobile,Completed
230,2023-07-01,20230701,1127,5,5,1,63.72,0,63.72,21.43,0,42.29,0,0,Desktop,Completed
231,2023-08-29,20230829,2138,16,9,2,42.08,0,84.16,27.58,0,56.58,0,0,Mobile,Completed
232,2023-10-18,20231018,2201,15,4,1,46.83,0,46.83,13.89,8.78,32.94,0,1,Mobile,Completed
233,2023-02-15,20230215,717,4,4,1,43.78,0,43.78,15.18,7.6,28.6,0,0,Mobile,Completed
234,2023-05-17,20230517,2257,8,4,1,35.27,0,35.27,12.7,11.06,22.57,0,0,Mobile,Completed
235,2023-11-05,20231105,2013,25,5,3,36.05,0,108.15,43.74,0,64.41,0,0,Desktop,Completed
236,2023-03-30,20230330,414,23,1,1,29.77,0,29.77,12.49,7.25,17.28,0,0,Mobile,Completed
237,2023-11-06,20231106,4603,5,4,2,63.72,0,127.44,42.86,0,84.58,0,0,Tablet,Completed
238,2023-06-24,20230624,4844,3,2,2,47.56,0,95.12,37.5,0,57.62,0,0,Mobile,Completed
239,2023-03-05,20230305,1829,27,4,1,36.31,0,36.31,14.98,7.2,21.33,0,0,Mobile,Completed
240,2023-01-31,20230131,3875,17,5,2,55.99,0,111.98,35.74,0,76.24,0,1,Desktop,Completed
241,2023-04-30,20230430,1338,22,8,1,23.84,0,23.84,9.43,11.84,14.41,0,0,Mobile,Completed
242,2023-07-08,20230708,3310,2,4,1,68.94,0,68.94,23.78,0,45.16,0,0,Mobile,Completed
243,2023-03-12,20230312,1088,8,5,3,35.27,0,105.81,38.1,0,67.71,0,0,Desktop,Completed
244,2023-12-08,20231208,3186,3,6,1,47.56,0.1,42.8,18.75,5.34,24.05,0,0,Mobile,Completed
