AdSpendKey,WeekStartDate,DateKey,Year,Month,MonthName,YearMonth,ChannelKey,Budget,Spend,Impressions,Clicks,Conversions,RevenueGenerated,ROAS,CPA,CTR,CVR
24,2023-01-22,20230122,2023,1,January,2023-01,8,150.15,140.18,3425,235,10,707.19,4.71,15.02,0.0686,0.0426
25,2023-01-01,20230101,2023,1,January,2023-01,9,84.83,81.03,3726,93,2,187.24,2.21,42.41,0.025,0.0215
26,2023-01-08,20230108,2023,1,January,2023-01,9,86.46,80.67,4004,88,3,187.43,2.17,28.82,0.022,0.0341
27,2023-01-15,20230115,2023,1,January,2023-01,9,75.39,72.98,4823,89,3,155.98,2.07,25.13,0.0185,0.0337
28,2023-01-22,20230122,2023,1,January,2023-01,9,78.53,71.85,5215,64,2,165.46,2.11,39.27,0.0123,0.0312
29,2023-02-01,20230201,2023,2,February,2023-02,1,507.48,494.12,2126,73,3,171.23,0.34,169.16,0.0343,0.0411
30,2023-02-08,20230208,2023,2,February,2023-02,1,427.81,420.73,3946,161,5,249.52,0.58,85.56,0.0408,0.0311
31,2023-02-15,20230215,2023,2,February,2023-02,1,500.53,486.63,4232,284,11,615.08,1.23,45.5,0.0671,0.0387
32,2023-02-22,20230222,2023,2,February,2023-02,1,433.58,425.31,2711,91,4,337.12,0.78,108.4,0.0336,0.044
33,2023-02-01,20230201,2023,2,February,2023-02,2,317.17,285.53,2901,125,2,174.16,0.55,158.58,0.0431,0.016
34,2023-02-08,20230208,2023,2,February,2023-02,2,282.96,268.6,1474,50,1,63.03,0.22,282.96,0.0339,0.02
35,2023-02-15,20230215,2023,2,February,2023-02,2,283.47,269.35,1670,70,2,107.43,0.38,141.73,0.0419,0.0286
36,2023-02-22,20230222,2023,2,February,2023-02,2,285.91,270.56,2203,61,2,169.87,0.59,142.95,0.0277,0.0328
37,2023-02-01,20230201,2023,2,February,2023-02,3,568.38,564.87,6536,195,6,532.75,0.94,94.73,0.0298,0.0308
38,2023-02-08,20230208,2023,2,February,2023-02,3,561.22,524.24,16017,567,10,475.44,0.85,56.12,0.0354,0.0176
39,2023-02-15,20230215,2023,2,February,2023-02,3,573.78,545.49,6823,123,3,209.87,0.37,191.26,0.018,0.0244
40,2023-02-22,20230222,2023,2,February,2023-02,3,460.59,438.82,4404,122,2,130.89,0.28,230.29,0.0277,0.0164
41,2023-02-01,20230201,2023,2,February,2023-02,4,379.75,352.11,4693,153,4,207.69,0.55,94.94,0.0326,0.0261
42,2023-02-08,20230208,2023,2,February,2023-02,4,405.19,368.44,4819,110,3,276.96,0.68,135.06,0.0228,0.0273
43,2023-02-15,20230215,2023,2,February,2023-02,4,370.68,360.47,3025,74,1,72.01,0.19,370.68,0.0245,0.0135
44,2023-02-22,20230222,2023,2,February,2023-02,4,381.12,353.14,3503,64,1,58.79,0.15,381.12,0.0183,0.0156
45,2023-02-01,20230201,2023,2,February,2023-02,5,147.87,140.51,3133,134,1,81.7,0.55,147.87,0.0428,0.0075
46,2023-02-08,20230208,2023,2,February,2023-02,5,159.44,146.91,4184,217,4,269.36,1.69,39.86,0.0519,0.0184
47,2023-02-15,20230215,2023,2,February,2023-02,5,150.16,140.25,4747,141,1,74.53,0.5,150.16,0.0297,0.0071
48,2023-02-22,20230222,2023,2,February,2023-02,5,167.33,160.95,5329,288,7,540.46,3.23,23.9,0.054,0.0243
49,2023-02-01,20230201,2023,2,February,2023-02,8,175.52,174.24,1959,46,1,49.94,0.28,175.52,0.0235,0.0217
50,2023-02-08,20230208,2023,2,February,2023-02,8,166.42,150.67,3224,230,9,764.84,4.6,18.49,0.0713,0.0391
51,2023-02-15,20230215,2023,2,February,2023-02,8,191.26,190.95,6069,147,3,198.61,1.04,63.75,0.0242,0.0204
52,2023-02-22,20230222,2023,2,February,2023-02,8,191.78,188.29,3492,195,9,407.75,2.13,21.31,0.0558,0.0462
53,2023-02-01,20230201,2023,2,February,2023-02,9,75.07,68.72,4586,53,1,84.1,1.12,75.07,0.0116,0.0189
54,2023-02-08,20230208,2023,2,February,2023-02,9,79.62,74.13,1965,31,0,0.0,0.0,79.62,0.0158,0.0
55,2023-02-15,20230215,2023,2,February,2023-02,9,94.37,86.33,9398,187,4,189.52,2.01,23.59,0.0199,0.0214
56,2023-02-22,20230222,2023,2,February,2023-02,9,73.63,69.72,2502,25,0,0.0,0.0,73.63,0.01,0.0
57,2023-03-01,20230301,2023,3,March,2023-03,1,536.86,498.65,3741,146,5,419.01,0.78,107.37,0.039,0.0342
58,2023-03-08,20230308,2023,3,March,2023-03,1,477.67,437.1,3582,143,4,266.42,0.56,119.42,0.0399,0.028
59,2023-03-15,20230315,2023,3,March,2023-03,1,425.63,385.71,2011,120,3,160.92,0.38,141.88,0.0597,0.025
60,2023-03-22,20230322,2023,3,March,2023-03,1,479.39,454.56,4055,280,14,1060.09,2.21,34.24,0.0691,0.05
61,2023-03-01,20230301,2023,3,March,2023-03,2,360.82,335.09,4398,212,4,306.17,0.85,90.2,0.0482,0.0189
62,2023-03-08,20230308,2023,3,March,2023-03,2,325.3,306.8,3466,101,3,239.28,0.74,108.43,0.0291,0.0297
63,2023-03-15,20230315,2023,3,March,2023-03,2,349.84,324.38,3726,152,4,352.82,1.01,87.46,0.0408,0.0263
64,2023-03-22,20230322,2023,3,March,2023-03,2,295.53,280.99,1930,56,2,186.03,0.63,147.77,0.029,0.0357
65,2023-03-01,20230301,2023,3,March,2023-03,3,497.02,461.33,5665,144,4,243.52,0.49,124.25,0.0254,0.0278
66,2023-03-08,20230308,2023,3,March,2023-03,3,625.41,621.4,14727,223,3,237.63,0.38,208.47,0.0151,0.0135
67,2023-03-15,20230315,2023,3,March,2023-03,3,558.99,539.36,13135,270,7,618.12,1.11,79.86,0.0206,0.0259
68,2023-03-22,20230322,2023,3,March,2023-03,3,643.91,636.39,8511,131,2,101.3,0.16,321.95,0.0154,0.0153
69,2023-03-01,20230301,2023,3,March,2023-03,4,422.13,392.06,2969,92,3,174.06,0.41,140.71,0.031,0.0326
70,2023-03-08,20230308,2023,3,March,2023-03,4,437.96,413.83,4956,236,8,598.14,1.37,54.75,0.0476,0.0339
71,2023-03-15,20230315,2023,3,March,2023-03,4,383.3,347.67,7475,258,6,517.04,1.35,63.88,0.0345,0.0233
72,2023-03-22,20230322,2023,3,March,2023-03,4,376.91,362.47,10089,390,13,700.24,1.86,28.99,0.0387,0.0333
73,2023-03-01,20230301,2023,3,March,2023-03,5,160.84,146.93,2003,57,1,81.11,0.5,160.84,0.0285,0.0175
74,2023-03-08,20230308,2023,3,March,2023-03,5,167.29,157.12,1813,51,0,0.0,0.0,167.29,0.0281,0.0
75,2023-03-15,20230315,2023,3,March,2023-03,5,158.92,147.28,2006,105,1,76.85,0.48,158.92,0.0523,0.0095
76,2023-03-22,20230322,2023,3,March,2023-03,5,174.14,173.17,2342,117,2,139.38,0.8,87.07,0.05,0.0171
77,2023-03-01,20230301,2023,3,March,2023-03,8,172.75,160.39,4145,83,3,249.86,1.45,57.58,0.02,0.0361
78,2023-03-08,20230308,2023,3,March,2023-03,8,156.1,154.8,1461,46,1,70.68,0.45,156.1,0.0315,0.0217
79,2023-03-15,20230315,2023,3,March,2023-03,8,157.82,147.54,1790,41,1,66.45,0.42,157.82,0.0229,0.0244
80,2023-03-22,20230322,2023,3,March,2023-03,8,183.89,172.89,4355,329,14,1139.69,6.2,13.13,0.0755,0.0426
81,2023-03-01,20230301,2023,3,March,2023-03,9,95.21,89.16,6788,184,4,349.36,3.67,23.8,0.0271,0.0217
82,2023-03-08,20230308,2023,3,March,2023-03,9,86.16,79.57,1814,51,1,61.58,0.71,86.16,0.0281,0.0196
83,2023-03-15,20230315,2023,3,March,2023-03,9,96.75,89.13,2438,43,0,0.0,0.0,96.75,0.0176,0.0
84,2023-03-22,20230322,2023,3,March,2023-03,9,98.53,96.91,6004,161,5,440.69,4.47,19.71,0.0268,0.0311
85,2023-04-01,20230401,2023,4,April,2023-04,1,513.11,465.08,3819,223,9,830.46,1.62,57.01,0.0584,0.0404
86,2023-04-08,20230408,2023,4,April,2023-04,1,448.19,405.44,1750,118,3,247.48,0.55,149.4,0.0674,0.0254
87,2023-04-15,20230415,2023,4,April,2023-04,1,506.87,500.63,1897,101,4,249.83,0.49,126.72,0.0532,0.0396
88,2023-04-22,20230422,2023,4,April,2023-04,1,598.6,576.8,2676,120,5,449.86,0.75,119.72,0.0448,0.0417
89,2023-04-01,20230401,2023,4,April,2023-04,2,371.19,367.81,6391,160,4,232.69,0.63,92.8,0.025,0.025
90,2023-04-08,20230408,2023,4,April,2023-04,2,325.54,295.11,2878,102,3,283.2,0.87,108.51,0.0354,0.0294
91,2023-04-15,20230415,2023,4,April,2023-04,2,390.32,371.03,5702,121,3,269.96,0.69,130.11,0.0212,0.0248
92,2023-04-22,20230422,2023,4,April,2023-04,2,357.44,333.87,3669,182,5,434.72,1.22,71.49,0.0496,0.0275
93,2023-04-01,20230401,2023,4,April,2023-04,3,515.18,509.11,6890,144,4,297.43,0.58,128.79,0.0209,0.0278
94,2023-04-08,20230408,2023,4,April,2023-04,3,616.13,565.92,13914,139,3,242.77,0.39,205.38,0.01,0.0216
95,2023-04-15,20230415,2023,4,April,2023-04,3,632.28,604.78,6072,194,6,484.78,0.77,105.38,0.0319,0.0309
96,2023-04-22,20230422,2023,4,April,2023-04,3,628.82,590.34,6847,86,2,186.52,0.3,314.41,0.0126,0.0233
97,2023-04-01,20230401,2023,4,April,2023-04,4,444.51,405.42,5297,137,3,169.12,0.38,148.17,0.0259,0.0219
98,2023-04-08,20230408,2023,4,April,2023-04,4,398.74,381.51,2664,54,1,52.71,0.13,398.74,0.0203,0.0185
99,2023-04-15,20230415,2023,4,April,2023-04,4,489.85,445.78,9481,156,5,436.37,0.89,97.97,0.0165,0.0321
100,2023-04-22,20230422,2023,4,April,2023-04,4,438.0,417.85,6090,240,6,329.79,0.75,73.0,0.0394,0.025
101,2023-04-01,20230401,2023,4,April,2023-04,5,173.96,157.62,2680,145,2,119.16,0.68,86.98,0.0541,0.0138
102,2023-04-08,20230408,2023,4,April,2023-04,5,177.75,170.32,5003,102,2,149.43,0.84,88.87,0.0204,0.0196
103,2023-04-15,20230415,2023,4,April,2023-04,5,183.93,173.86,6686,262,3,170.55,0.93,61.31,0.0392,0.0115
104,2023-04-22,20230422,2023,4,April,2023-04,5,197.2,188.24,6449,346,4,225.79,1.15,49.3,0.0537,0.0116
105,2023-04-01,20230401,2023,4,April,2023-04,8,202.36,195.55,2207,141,2,99.36,0.49,101.18,0.0639,0.0142
106,2023-04-08,20230408,2023,4,April,2023-04,8,206.92,196.85,2965,151,4,279.77,1.35,51.73,0.0509,0.0265
107,2023-04-15,20230415,2023,4,April,2023-04,8,172.52,159.12,3015,222,5,228.7,1.33,34.5,0.0736,0.0225
108,2023-04-22,20230422,2023,4,April,2023-04,8,203.61,203.46,3968,267,6,431.85,2.12,33.94,0.0673,0.0225
109,2023-04-01,20230401,2023,4,April,2023-04,9,98.01,95.21,2728,65,2,136.53,1.39,49.0,0.0238,0.0308
110,2023-04-08,20230408,2023,4,April,2023-04,9,97.18,89.28,3284,42,0,0.0,0.0,97.18,0.0128,0.0
111,2023-04-15,20230415,2023,4,April,2023-04,9,87.66,80.73,3898,78,1,78.33,0.89,87.66,0.02,0.0128
112,2023-04-22,20230422,2023,4,April,2023-04,9,86.43,83.88,6412,183,3,135.54,1.57,28.81,0.0285,0.0164
113,2023-05-01,20230501,2023,5,May,2023-05,1,607.6,599.23,4461,200,9,617.31,1.02,67.51,0.0448,0.045
114,2023-05-08,20230508,2023,5,May,2023-05,1,500.6,456.71,5566,274,11,738.65,1.48,45.51,0.0492,0.0401
115,2023-05-15,20230515,2023,5,May,2023-05,1,612.69,571.13,7779,421,15,1223.72,2.0,40.85,0.0541,0.0356
116,2023-05-22,20230522,2023,5,May,2023-05,1,589.11,560.63,3042,143,4,329.71,0.56,147.28,0.047,0.028
117,2023-05-01,20230501,2023,5,May,2023-05,2,422.88,401.1,7926,195,5,367.62,0.87,84.58,0.0246,0.0256
118,2023-05-08,20230508,2023,5,May,2023-05,2,408.28,383.96,4408,141,5,382.18,0.94,81.66,0.032,0.0355
119,2023-05-15,20230515,2023,5,May,2023-05,2,339.15,320.53,4346,183,3,191.81,0.57,113.05,0.0421,0.0164
120,2023-05-22,20230522,2023,5,May,2023-05,2,427.28,400.53,3741,96,3,239.4,0.56,142.43,0.0257,0.0312
121,2023-05-01,20230501,2023,5,May,2023-05,3,596.38,591.5,7501,196,6,489.59,0.82,99.4,0.0261,0.0306
122,2023-05-08,20230508,2023,5,May,2023-05,3,676.02,616.89,17016,410,8,566.66,0.84,84.5,0.0241,0.0195
123,2023-05-15,20230515,2023,5,May,2023-05,3,595.59,566.61,7920,125,2,138.69,0.23,297.79,0.0158,0.016
124,2023-05-22,20230522,2023,5,May,2023-05,3,607.49,581.83,7369,269,5,348.96,0.57,121.5,0.0365,0.0186
125,2023-05-01,20230501,2023,5,May,2023-05,4,436.64,404.87,3563,162,6,418.97,0.96,72.77,0.0455,0.037
126,2023-05-08,20230508,2023,5,May,2023-05,4,429.73,401.55,7661,367,14,712.25,1.66,30.7,0.0479,0.0381
127,2023-05-15,20230515,2023,5,May,2023-05,4,441.84,403.08,7141,181,6,451.05,1.02,73.64,0.0253,0.0331
128,2023-05-22,20230522,2023,5,May,2023-05,4,442.16,431.19,5766,281,6,503.26,1.14,73.69,0.0487,0.0214
129,2023-05-01,20230501,2023,5,May,2023-05,5,211.29,202.82,4533,171,4,372.18,1.76,52.82,0.0377,0.0234
130,2023-05-08,20230508,2023,5,May,2023-05,5,210.8,196.08,5915,350,8,554.32,2.63,26.35,0.0592,0.0229
131,2023-05-15,20230515,2023,5,May,2023-05,5,184.5,171.68,1934,62,1,50.74,0.28,184.5,0.0321,0.0161
132,2023-05-22,20230522,2023,5,May,2023-05,5,176.26,171.4,4837,145,3,263.09,1.49,58.75,0.03,0.0207
133,2023-05-01,20230501,2023,5,May,2023-05,8,224.36,222.49,8796,493,17,1592.89,7.1,13.2,0.056,0.0345
134,2023-05-08,20230508,2023,5,May,2023-05,8,193.23,175.75,5521,188,6,419.32,2.17,32.2,0.0341,0.0319
135,2023-05-15,20230515,2023,5,May,2023-05,8,191.64,176.54,3587,238,10,744.61,3.89,19.16,0.0664,0.042
136,2023-05-22,20230522,2023,5,May,2023-05,8,194.42,193.61,6226,321,7,456.75,2.35,27.77,0.0516,0.0218
137,2023-05-01,20230501,2023,5,May,2023-05,9,111.01,105.69,6192,86,2,122.29,1.1,55.51,0.0139,0.0233
138,2023-05-08,20230508,2023,5,May,2023-05,9,86.45,86.17,2057,38,0,0.0,0.0,86.45,0.0185,0.0
139,2023-05-15,20230515,2023,5,May,2023-05,9,109.62,105.32,3643,72,1,65.49,0.6,109.62,0.0198,0.0139
140,2023-05-22,20230522,2023,5,May,2023-05,9,108.64,102.27,6391,118,2,90.18,0.83,54.32,0.0185,0.0169
141,2023-06-01,20230601,2023,6,June,2023-06,1,524.81,482.18,2652,115,3,185.79,0.35,174.94,0.0434,0.0261
142,2023-06-08,20230608,2023,6,June,2023-06,1,562.47,528.41,2718,84,3,238.17,0.42,187.49,0.0309,0.0357
143,2023-06-15,20230615,2023,6,June,2023-06,1,557.56,554.1,3327,154,4,286.03,0.51,139.39,0.0463,0.026
144,2023-06-22,20230622,2023,6,June,2023-06,1,562.58,559.2,2565,145,6,487.77,0.87,93.76,0.0565,0.0414
145,2023-06-01,20230601,2023,6,June,2023-06,2,368.46,343.02,7159,163,4,204.56,0.56,92.11,0.0228,0.0245
146,2023-06-08,20230608,2023,6,June,2023-06,2,325.5,315.46,3128,114,3,168.25,0.52,108.5,0.0364,0.0263
147,2023-06-15,20230615,2023,6,June,2023-06,2,355.76,354.71,2598,72,2,137.01,0.39,177.88,0.0277,0.0278
148,2023-06-22,20230622,2023,6,June,2023-06,2,347.71,341.06,2219,85,2,92.66,0.27,173.86,0.0383,0.0235
149,2023-06-01,20230601,2023,6,June,2023-06,3,705.83,692.3,19835,357,7,364.2,0.52,100.83,0.018,0.0196
150,2023-06-08,20230608,2023,6,June,2023-06,3,605.86,549.68,11634,460,8,437.94,0.72,75.73,0.0395,0.0174
151,2023-06-15,20230615,2023,6,June,2023-06,3,637.78,637.12,7944,285,8,690.69,1.08,79.72,0.0359,0.0281
152,2023-06-22,20230622,2023,6,June,2023-06,3,611.49,558.02,9322,285,5,248.71,0.41,122.3,0.0306,0.0175
153,2023-06-01,20230601,2023,6,June,2023-06,4,419.59,399.5,3227,155,5,267.63,0.64,83.92,0.048,0.0323
154,2023-06-08,20230608,2023,6,June,2023-06,4,402.86,372.1,6051,282,7,457.26,1.14,57.55,0.0466,0.0248
155,2023-06-15,20230615,2023,6,June,2023-06,4,411.97,397.57,7897,213,6,551.25,1.34,68.66,0.027,0.0282
156,2023-06-22,20230622,2023,6,June,2023-06,4,384.43,366.92,3304,87,2,137.32,0.36,192.22,0.0263,0.023
157,2023-06-01,20230601,2023,6,June,2023-06,5,175.99,172.31,5649,128,3,203.89,1.16,58.66,0.0227,0.0234
158,2023-06-08,20230608,2023,6,June,2023-06,5,182.27,168.23,2883,122,3,243.38,1.34,60.76,0.0423,0.0246
159,2023-06-15,20230615,2023,6,June,2023-06,5,177.75,164.6,6699,200,4,329.08,1.85,44.44,0.0299,0.02
160,2023-06-22,20230622,2023,6,June,2023-06,5,204.52,185.14,6558,344,9,514.7,2.52,22.72,0.0525,0.0262
161,2023-06-01,20230601,2023,6,June,2023-06,8,173.44,171.58,3797,128,2,171.08,0.99,86.72,0.0337,0.0156
162,2023-06-08,20230608,2023,6,June,2023-06,8,197.06,181.88,4873,217,9,765.1,3.88,21.9,0.0445,0.0415
163,2023-06-15,20230615,2023,6,June,2023-06,8,191.69,177.92,3418,81,2,161.73,0.84,95.84,0.0237,0.0247
164,2023-06-22,20230622,2023,6,June,2023-06,8,227.53,220.81,4019,304,12,649.37,2.85,18.96,0.0756,0.0395
165,2023-06-01,20230601,2023,6,June,2023-06,9,92.3,85.15,3807,107,4,303.86,3.29,23.07,0.0281,0.0374
166,2023-06-08,20230608,2023,6,June,2023-06,9,110.57,102.37,3893,99,1,93.26,0.84,110.57,0.0254,0.0101
167,2023-06-15,20230615,2023,6,June,2023-06,9,101.59,91.92,3606,61,1,59.01,0.58,101.59,0.0169,0.0164
168,2023-06-22,20230622,2023,6,June,2023-06,9,108.94,98.96,4228,103,1,90.82,0.83,108.94,0.0244,0.0097
169,2023-07-01,20230701,2023,7,July,2023-07,1,585.39,573.78,2512,83,2,114.52,0.2,292.69,0.033,0.0241
170,2023-07-08,20230708,2023,7,July,2023-07,1,528.64,482.03,4859,333,10,569.94,1.08,52.86,0.0685,0.03
171,2023-07-15,20230715,2023,7,July,2023-07,1,546.09,506.52,4754,158,4,283.29,0.52,136.52,0.0332,0.0253
172,2023-07-22,20230722,2023,7,July,2023-07,1,508.27,468.84,2671,183,10,843.4,1.66,50.83,0.0685,0.0546
173,2023-07-01,20230701,2023,7,July,2023-07,2,369.16,334.87,2783,102,3,252.62,0.68,123.05,0.0367,0.0294
174,2023-07-08,20230708,2023,7,July,2023-07,2,372.4,353.65,3210,144,5,385.15,1.03,74.48,0.0449,0.0347
175,2023-07-15,20230715,2023,7,July,2023-07,2,333.16,303.02,2632,95,2,119.5,0.36,166.58,0.0361,0.0211
176,2023-07-22,20230722,2023,7,July,2023-07,2,303.68,287.01,3405,93,3,180.58,0.59,101.23,0.0273,0.0323
177,2023-07-01,20230701,2023,7,July,2023-07,3,652.96,588.48,9010,293,7,566.76,0.87,93.28,0.0325,0.0239
178,2023-07-08,20230708,2023,7,July,2023-07,3,530.76,530.15,7481,149,2,183.09,0.34,265.38,0.0199,0.0134
179,2023-07-15,20230715,2023,7,July,2023-07,3,621.28,609.27,8847,246,8,536.63,0.86,77.66,0.0278,0.0325
180,2023-07-22,20230722,2023,7,July,2023-07,3,567.75,559.47,9388,292,7,579.45,1.02,81.11,0.0311,0.024
181,2023-07-01,20230701,2023,7,July,2023-07,4,402.97,386.66,5930,200,4,207.53,0.52,100.74,0.0337,0.02
182,2023-07-08,20230708,2023,7,July,2023-07,4,476.92,431.08,6421,152,4,182.59,0.38,119.23,0.0237,0.0263
183,2023-07-15,20230715,2023,7,July,2023-07,4,464.64,422.93,10369,253,9,616.03,1.33,51.63,0.0244,0.0356
184,2023-07-22,20230722,2023,7,July,2023-07,4,482.59,461.72,4157,75,2,158.69,0.33,241.3,0.018,0.0267
185,2023-07-01,20230701,2023,7,July,2023-07,5,192.19,189.23,2486,110,2,167.8,0.87,96.09,0.0442,0.0182
186,2023-07-08,20230708,2023,7,July,2023-07,5,166.0,154.04,2702,104,2,119.7,0.72,83.0,0.0385,0.0192
187,2023-07-15,20230715,2023,7,July,2023-07,5,218.11,214.14,2662,97,2,150.26,0.69,109.06,0.0364,0.0206
188,2023-07-22,20230722,2023,7,July,2023-07,5,207.14,202.8,2078,92,2,174.78,0.84,103.57,0.0443,0.0217
189,2023-07-01,20230701,2023,7,July,2023-07,8,185.41,172.41,3423,153,5,324.95,1.75,37.08,0.0447,0.0327
190,2023-07-08,20230708,2023,7,July,2023-07,8,178.39,168.63,3817,99,3,269.92,1.51,59.46,0.0259,0.0303
191,2023-07-15,20230715,2023,7,July,2023-07,8,164.48,159.4,5414,350,14,1249.58,7.6,11.75,0.0646,0.04
192,2023-07-22,20230722,2023,7,July,2023-07,8,194.17,183.74,4068,165,7,459.22,2.36,27.74,0.0406,0.0424
193,2023-07-01,20230701,2023,7,July,2023-07,9,86.79,79.46,4910,55,1,92.37,1.06,86.79,0.0112,0.0182
194,2023-07-08,20230708,2023,7,July,2023-07,9,101.29,96.5,8011,91,2,109.07,1.08,50.64,0.0114,0.022
195,2023-07-15,20230715,2023,7,July,2023-07,9,85.63,82.87,2160,29,0,0.0,0.0,85.63,0.0134,0.0
196,2023-07-22,20230722,2023,7,July,2023-07,9,80.94,73.81,3611,60,1,49.32,0.61,80.94,0.0166,0.0167
197,2023-08-01,20230801,2023,8,August,2023-08,1,609.33,584.04,7414,300,10,527.79,0.87,60.93,0.0405,0.0333
198,2023-08-08,20230808,2023,8,August,2023-08,1,522.3,497.92,3649,127,4,331.48,0.63,130.58,0.0348,0.0315
199,2023-08-15,20230815,2023,8,August,2023-08,1,516.11,513.72,5479,361,12,992.2,1.92,43.01,0.0659,0.0332
200,2023-08-22,20230822,2023,8,August,2023-08,1,516.89,477.48,4421,259,12,1128.36,2.18,43.07,0.0586,0.0463
201,2023-08-01,20230801,2023,8,August,2023-08,2,394.45,387.27,2408,48,1,88.31,0.22,394.45,0.0199,0.0208
202,2023-08-08,20230808,2023,8,August,2023-08,2,341.6,318.65,6237,197,4,372.43,1.09,85.4,0.0316,0.0203
203,2023-08-15,20230815,2023,8,August,2023-08,2,327.29,320.74,2325,72,2,109.32,0.33,163.64,0.031,0.0278
204,2023-08-22,20230822,2023,8,August,2023-08,2,384.59,380.02,3864,160,4,290.17,0.75,96.15,0.0414,0.025
205,2023-08-01,20230801,2023,8,August,2023-08,3,548.61,514.61,5066,178,4,222.42,0.41,137.15,0.0351,0.0225
206,2023-08-08,20230808,2023,8,August,2023-08,3,618.89,570.79,7775,79,2,111.28,0.18,309.45,0.0102,0.0253
207,2023-08-15,20230815,2023,8,August,2023-08,3,715.29,692.54,10901,429,14,939.8,1.31,51.09,0.0394,0.0326
208,2023-08-22,20230822,2023,8,August,2023-08,3,701.04,645.14,5777,120,2,175.18,0.25,350.52,0.0208,0.0167
209,2023-08-01,20230801,2023,8,August,2023-08,4,482.85,442.94,4915,76,2,153.42,0.32,241.42,0.0155,0.0263
210,2023-08-08,20230808,2023,8,August,2023-08,4,405.43,400.18,5985,201,5,454.83,1.12,81.09,0.0336,0.0249
211,2023-08-15,20230815,2023,8,August,2023-08,4,401.53,379.73,4788,130,4,340.65,0.85,100.38,0.0272,0.0308
212,2023-08-22,20230822,2023,8,August,2023-08,4,508.02,495.09,12789,326,11,1037.12,2.04,46.18,0.0255,0.0337
213,2023-08-01,20230801,2023,8,August,2023-08,5,189.21,180.48,6680,158,1,84.88,0.45,189.21,0.0237,0.0063
214,2023-08-08,20230808,2023,8,August,2023-08,5,175.97,160.1,3026,139,3,267.46,1.52,58.66,0.0459,0.0216
215,2023-08-15,20230815,2023,8,August,2023-08,5,205.72,191.53,3442,196,5,287.04,1.4,41.14,0.0569,0.0255
216,2023-08-22,20230822,2023,8,August,2023-08,5,194.02,179.2,2783,123,1,84.72,0.44,194.02,0.0442,0.0081
